Area_Name,Date,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
Ford City CDP,May,2020-05-01,2020,May,1400,400,0.2
Ford City CDP,June,2020-06-01,2020,June,1500,400,0.193
Ford City CDP,July,2020-07-01,2020,July,1500,300,0.182
Ford City CDP,August,2020-08-01,2020,August,1500,200,0.138
Ford City CDP,September,2020-09-01,2020,September,1500,200,0.138
Forest Meadows CDP,March,2020-03-01,2020,March,500,60,0.099
Forest Meadows CDP,April,2020-04-01,2020,April,440,130,0.225
Forest Meadows CDP,May,2020-05-01,2020,May,430,110,0.20600000000000002
Forest Meadows CDP,June,2020-06-01,2020,June,450,110,0.19
Forest Meadows CDP,July,2020-07-01,2020,July,460,90,0.168
Forest Meadows CDP,August,2020-08-01,2020,August,470,70,0.128
Forest Meadows CDP,September,2020-09-01,2020,September,460,70,0.131
Foresthill CDP,March,2020-03-01,2020,March,700,0,0.036000000000000004
Foresthill CDP,April,2020-04-01,2020,April,600,100,0.11800000000000001
Foresthill CDP,May,2020-05-01,2020,May,600,100,0.113
Foresthill CDP,June,2020-06-01,2020,June,600,100,0.1
Foresthill CDP,July,2020-07-01,2020,July,600,100,0.08800000000000001
Foresthill CDP,August,2020-08-01,2020,August,600,0,0.066
Foresthill CDP,September,2020-09-01,2020,September,700,0,0.063
Forestville CDP,March,2020-03-01,2020,March,2000,100,0.043
Forestville CDP,April,2020-04-01,2020,April,1700,300,0.166
Forestville CDP,May,2020-05-01,2020,May,1700,300,0.14800000000000002
Forestville CDP,June,2020-06-01,2020,June,1800,300,0.133
Forestville CDP,July,2020-07-01,2020,July,1800,200,0.115
Forestville CDP,August,2020-08-01,2020,August,1800,200,0.087
Forestville CDP,September,2020-09-01,2020,September,1900,200,0.084
Fort Bragg city,March,2020-03-01,2020,March,2960,180,0.059000000000000004
Fort Bragg city,April,2020-04-01,2020,April,2610,440,0.14400000000000002
Fort Bragg city,May,2020-05-01,2020,May,2570,390,0.131
Fort Bragg city,June,2020-06-01,2020,June,2690,370,0.121
Fort Bragg city,July,2020-07-01,2020,July,2670,330,0.109
Fort Bragg city,August,2020-08-01,2020,August,2740,250,0.083
Fort Bragg city,September,2020-09-01,2020,September,2740,240,0.08199999999999999
Fortuna city,March,2020-03-01,2020,March,4900,200,0.043
Fortuna city,April,2020-04-01,2020,April,4500,600,0.121
Fortuna city,May,2020-05-01,2020,May,4500,500,0.105
Fortuna city,June,2020-06-01,2020,June,4400,500,0.102
Fortuna city,July,2020-07-01,2020,July,4400,400,0.092
Fortuna city,August,2020-08-01,2020,August,4500,300,0.071
Fortuna city,September,2020-09-01,2020,September,4600,300,0.066
Foster City city,March,2020-03-01,2020,March,19500,600,0.027999999999999997
Foster City city,April,2020-04-01,2020,April,16800,1500,0.079
Foster City city,May,2020-05-01,2020,May,16800,1400,0.076
Foster City city,June,2020-06-01,2020,June,17300,1400,0.076
Foster City city,July,2020-07-01,2020,July,17700,1300,0.068
Foster City city,August,2020-08-01,2020,August,17900,1000,0.051
Foster City city,September,2020-09-01,2020,September,18000,1000,0.051
Fountain Valley city,March,2020-03-01,2020,March,26700,1100,0.039
Fountain Valley city,April,2020-04-01,2020,April,23200,4100,0.15
Fountain Valley city,May,2020-05-01,2020,May,23100,4400,0.159
Fountain Valley city,June,2020-06-01,2020,June,24100,4200,0.14800000000000002
Fountain Valley city,July,2020-07-01,2020,July,24400,3700,0.131
Fountain Valley city,August,2020-08-01,2020,August,24500,2700,0.1
Fountain Valley city,September,2020-09-01,2020,September,25000,2600,0.094
Fowler city,March,2020-03-01,2020,March,2700,200,0.083
Fowler city,April,2020-04-01,2020,April,2500,400,0.13
Fowler city,May,2020-05-01,2020,May,2500,300,0.11900000000000001
Fowler city,June,2020-06-01,2020,June,2600,300,0.111
Fowler city,July,2020-07-01,2020,July,2600,300,0.10300000000000001
Fowler city,August,2020-08-01,2020,August,2700,200,0.078
Fowler city,September,2020-09-01,2020,September,2600,200,0.079
Frazier Park CDP,March,2020-03-01,2020,March,1000,200,0.13
Frazier Park CDP,April,2020-04-01,2020,April,900,200,0.19899999999999998
Frazier Park CDP,May,2020-05-01,2020,May,900,200,0.19399999999999998
Frazier Park CDP,June,2020-06-01,2020,June,900,200,0.187
Frazier Park CDP,July,2020-07-01,2020,July,900,200,0.177
Frazier Park CDP,August,2020-08-01,2020,August,1000,100,0.133
Frazier Park CDP,September,2020-09-01,2020,September,1000,100,0.133
Freedom CDP,March,2020-03-01,2020,March,1700,200,0.11900000000000001
Freedom CDP,April,2020-04-01,2020,April,1500,500,0.24
Freedom CDP,May,2020-05-01,2020,May,1500,400,0.20800000000000002
Freedom CDP,June,2020-06-01,2020,June,1500,400,0.18899999999999997
Freedom CDP,July,2020-07-01,2020,July,1500,300,0.163
Freedom CDP,August,2020-08-01,2020,August,1600,200,0.125
Freedom CDP,September,2020-09-01,2020,September,1600,200,0.12
Fremont city,March,2020-03-01,2020,March,115200,4100,0.034
Fremont city,April,2020-04-01,2020,April,99200,12100,0.109
Fremont city,May,2020-05-01,2020,May,99500,12000,0.10800000000000001
Fremont city,June,2020-06-01,2020,June,102300,12000,0.105
Fremont city,July,2020-07-01,2020,July,103200,10700,0.094
Fremont city,August,2020-08-01,2020,August,104300,8000,0.071
Fremont city,September,2020-09-01,2020,September,105000,7800,0.07
French Camp CDP,March,2020-03-01,2020,March,1000,100,0.09
French Camp CDP,April,2020-04-01,2020,April,900,200,0.19
French Camp CDP,May,2020-05-01,2020,May,900,200,0.177
French Camp CDP,June,2020-06-01,2020,June,1000,200,0.16899999999999998
French Camp CDP,July,2020-07-01,2020,July,1000,200,0.157
French Camp CDP,August,2020-08-01,2020,August,1000,100,0.122
French Camp CDP,September,2020-09-01,2020,September,1000,100,0.122
Fresno County,March,2020-03-01,2020,March,406900,50200,0.11
Fresno County,April,2020-04-01,2020,April,374400,75900,0.16899999999999998
Fresno County,May,2020-05-01,2020,May,377200,69200,0.155
Fresno County,June,2020-06-01,2020,June,384900,65200,0.145
Fresno County,July,2020-07-01,2020,July,386600,60000,0.134
Fresno County,August,2020-08-01,2020,August,396700,45700,0.10300000000000001
Fresno County,September,2020-09-01,2020,September,396500,45900,0.10400000000000001
Fresno MSA,March,2020-03-01,2020,March,406900,50200,0.11
Fresno MSA,April,2020-04-01,2020,April,374400,75900,0.16899999999999998
Fresno MSA,May,2020-05-01,2020,May,377200,69200,0.155
Fresno MSA,June,2020-06-01,2020,June,384900,65200,0.145
Fresno MSA,July,2020-07-01,2020,July,386600,60000,0.134
Fresno MSA,August,2020-08-01,2020,August,396700,45700,0.10300000000000001
Fresno MSA,September,2020-09-01,2020,September,396500,45900,0.10400000000000001
Fresno city,March,2020-03-01,2020,March,215300,17100,0.073
Fresno city,April,2020-04-01,2020,April,198100,37000,0.157
Fresno city,May,2020-05-01,2020,May,199600,35800,0.152
Fresno city,June,2020-06-01,2020,June,203600,34600,0.145
Fresno city,July,2020-07-01,2020,July,204500,33400,0.14
Fresno city,August,2020-08-01,2020,August,209900,26300,0.111
Fresno city,September,2020-09-01,2020,September,209800,26800,0.113
"Fresno, CA MSA",March,2020-03-01,2020,March,412648,43131,0.095
"Fresno, CA MSA",April,2020-04-01,2020,April,373052,74639,0.16699999999999998
"Fresno, CA MSA",May,2020-05-01,2020,May,373079,74303,0.166
"Fresno, CA MSA",June,2020-06-01,2020,June,381415,67383,0.15
"Fresno, CA MSA",July,2020-07-01,2020,July,381654,61573,0.139
"Fresno, CA MSA",August,2020-08-01,2020,August,389653,52531,0.11900000000000001
Friant CDP,March,2020-03-01,2020,March,200,0,0.184
Friant CDP,April,2020-04-01,2020,April,200,100,0.268
Friant CDP,May,2020-05-01,2020,May,200,100,0.249
Friant CDP,June,2020-06-01,2020,June,200,100,0.23600000000000002
Friant CDP,July,2020-07-01,2020,July,200,100,0.21899999999999997
Friant CDP,August,2020-08-01,2020,August,200,0,0.174
Friant CDP,September,2020-09-01,2020,September,200,0,0.174
Fullerton city,March,2020-03-01,2020,March,66300,2500,0.037000000000000005
Fullerton city,April,2020-04-01,2020,April,57600,10300,0.152
Fullerton city,May,2020-05-01,2020,May,57300,10900,0.16
Fullerton city,June,2020-06-01,2020,June,59700,10500,0.15
Fullerton city,July,2020-07-01,2020,July,60500,9700,0.138
Fullerton city,August,2020-08-01,2020,August,60900,7200,0.106
Fullerton city,September,2020-09-01,2020,September,62000,7000,0.102
Furnace Creek CDP,March,2020-03-01,2020,March,110,0,0.009000000000000001
Furnace Creek CDP,April,2020-04-01,2020,April,100,0,0.03
Furnace Creek CDP,May,2020-05-01,2020,May,100,0,0.02
Furnace Creek CDP,June,2020-06-01,2020,June,100,0,0.019
Furnace Creek CDP,July,2020-07-01,2020,July,100,0,0.019
Furnace Creek CDP,August,2020-08-01,2020,August,110,0,0.009000000000000001
Furnace Creek CDP,September,2020-09-01,2020,September,100,0,0.01
Galt city,March,2020-03-01,2020,March,10900,900,0.079
Galt city,April,2020-04-01,2020,April,9500,1700,0.149
Galt city,May,2020-05-01,2020,May,9600,1400,0.129
Galt city,June,2020-06-01,2020,June,9900,1400,0.121
Galt city,July,2020-07-01,2020,July,10000,1200,0.11
Galt city,August,2020-08-01,2020,August,10200,900,0.083
Galt city,September,2020-09-01,2020,September,10200,900,0.085
Garden Acres CDP,March,2020-03-01,2020,March,4100,500,0.114
Garden Acres CDP,April,2020-04-01,2020,April,3600,1100,0.233
Garden Acres CDP,May,2020-05-01,2020,May,3600,1000,0.21899999999999997
Garden Acres CDP,June,2020-06-01,2020,June,3700,1000,0.209
Garden Acres CDP,July,2020-07-01,2020,July,3700,900,0.195
Garden Acres CDP,August,2020-08-01,2020,August,3800,700,0.153
Garden Acres CDP,September,2020-09-01,2020,September,3900,700,0.153
Garden Grove city,March,2020-03-01,2020,March,76900,3400,0.042
Garden Grove city,April,2020-04-01,2020,April,66800,14700,0.18
Garden Grove city,May,2020-05-01,2020,May,66400,16600,0.2
Garden Grove city,June,2020-06-01,2020,June,69300,15900,0.187
Garden Grove city,July,2020-07-01,2020,July,70100,14100,0.16699999999999998
Garden Grove city,August,2020-08-01,2020,August,70500,10700,0.131
Garden Grove city,September,2020-09-01,2020,September,71900,10300,0.126
Gardena city,March,2020-03-01,2020,March,27700,2000,0.067
Gardena city,April,2020-04-01,2020,April,22500,6300,0.22
Gardena city,May,2020-05-01,2020,May,22200,6500,0.226
Gardena city,June,2020-06-01,2020,June,23500,6400,0.214
Gardena city,July,2020-07-01,2020,July,24000,6100,0.20199999999999999
Gardena city,August,2020-08-01,2020,August,24400,5600,0.18600000000000003
Gardena city,September,2020-09-01,2020,September,24900,5100,0.171
Georgetown CDP,March,2020-03-01,2020,March,1100,100,0.10300000000000001
Georgetown CDP,April,2020-04-01,2020,April,900,400,0.295
Georgetown CDP,May,2020-05-01,2020,May,900,400,0.293
Georgetown CDP,June,2020-06-01,2020,June,1000,300,0.256
Georgetown CDP,July,2020-07-01,2020,July,1000,300,0.212
Georgetown CDP,August,2020-08-01,2020,August,1000,200,0.162
Georgetown CDP,September,2020-09-01,2020,September,1000,200,0.159
Gilroy city,March,2020-03-01,2020,March,29000,1300,0.044000000000000004
Gilroy city,April,2020-04-01,2020,April,25900,4600,0.152
Gilroy city,May,2020-05-01,2020,May,25900,4200,0.14
Gilroy city,June,2020-06-01,2020,June,26700,3900,0.126
Gilroy city,July,2020-07-01,2020,July,27000,3400,0.111
Gilroy city,August,2020-08-01,2020,August,27300,2500,0.083
Gilroy city,September,2020-09-01,2020,September,27400,2400,0.08199999999999999
Glen Ellen CDP,March,2020-03-01,2020,March,500,0,0.0
Glen Ellen CDP,April,2020-04-01,2020,April,500,0,0.0
Glen Ellen CDP,May,2020-05-01,2020,May,500,0,0.0
Glen Ellen CDP,June,2020-06-01,2020,June,500,0,0.0
Glen Ellen CDP,July,2020-07-01,2020,July,500,0,0.0
Glen Ellen CDP,August,2020-08-01,2020,August,500,0,0.0
Glen Ellen CDP,September,2020-09-01,2020,September,500,0,0.0
Glendale city,March,2020-03-01,2020,March,95100,6100,0.06
Glendale city,April,2020-04-01,2020,April,77100,20200,0.207
Glendale city,May,2020-05-01,2020,May,76100,21300,0.21899999999999997
Glendale city,June,2020-06-01,2020,June,80600,21500,0.21100000000000002
Glendale city,July,2020-07-01,2020,July,82300,20200,0.19699999999999998
Glendale city,August,2020-08-01,2020,August,83700,18100,0.17800000000000002
Glendale city,September,2020-09-01,2020,September,85500,16100,0.158
Glendora city,March,2020-03-01,2020,March,24000,1600,0.061
Glendora city,April,2020-04-01,2020,April,19500,4100,0.17300000000000001
Glendora city,May,2020-05-01,2020,May,19200,4100,0.175
Glendora city,June,2020-06-01,2020,June,20400,4000,0.162
Glendora city,July,2020-07-01,2020,July,20800,3800,0.153
Glendora city,August,2020-08-01,2020,August,21100,3300,0.135
Glendora city,September,2020-09-01,2020,September,21600,2900,0.12
Glenn County,March,2020-03-01,2020,March,11980,1180,0.09
Glenn County,April,2020-04-01,2020,April,9580,1830,0.16
Glenn County,May,2020-05-01,2020,May,9580,1520,0.13699999999999998
Glenn County,June,2020-06-01,2020,June,9670,1420,0.128
Glenn County,July,2020-07-01,2020,July,10630,1300,0.109
Glenn County,August,2020-08-01,2020,August,11400,960,0.077
Glenn County,September,2020-09-01,2020,September,11730,920,0.073
Gold River CDP,March,2020-03-01,2020,March,3300,200,0.053
Gold River CDP,April,2020-04-01,2020,April,2800,500,0.158
Gold River CDP,May,2020-05-01,2020,May,2900,500,0.156
Gold River CDP,June,2020-06-01,2020,June,3000,500,0.14800000000000002
Gold River CDP,July,2020-07-01,2020,July,3000,500,0.13699999999999998
Gold River CDP,August,2020-08-01,2020,August,3000,400,0.10800000000000001
Gold River CDP,September,2020-09-01,2020,September,3100,400,0.10800000000000001
Golden Hills CDP,March,2020-03-01,2020,March,4100,300,0.059000000000000004
Golden Hills CDP,April,2020-04-01,2020,April,3600,400,0.095
Golden Hills CDP,May,2020-05-01,2020,May,3600,400,0.091
Golden Hills CDP,June,2020-06-01,2020,June,3700,400,0.08800000000000001
Golden Hills CDP,July,2020-07-01,2020,July,3700,300,0.08199999999999999
Golden Hills CDP,August,2020-08-01,2020,August,3900,200,0.061
Golden Hills CDP,September,2020-09-01,2020,September,3900,200,0.061
Goleta City,March,2020-03-01,2020,March,16100,500,0.028999999999999998
Goleta City,April,2020-04-01,2020,April,14600,1800,0.11199999999999999
Goleta City,May,2020-05-01,2020,May,14600,1800,0.10800000000000001
Goleta City,June,2020-06-01,2020,June,15100,1700,0.102
Goleta City,July,2020-07-01,2020,July,15100,1500,0.091
Goleta City,August,2020-08-01,2020,August,15500,1200,0.069
Goleta City,September,2020-09-01,2020,September,15700,1100,0.066
Gonzales city,March,2020-03-01,2020,March,3800,100,0.025
Gonzales city,April,2020-04-01,2020,April,3200,200,0.045
Gonzales city,May,2020-05-01,2020,May,3300,100,0.035
Gonzales city,June,2020-06-01,2020,June,3400,100,0.03
Gonzales city,July,2020-07-01,2020,July,3400,100,0.025
Gonzales city,August,2020-08-01,2020,August,3500,100,0.018000000000000002
Gonzales city,September,2020-09-01,2020,September,3500,100,0.018000000000000002
Goshen CDP,March,2020-03-01,2020,March,1300,200,0.15
Goshen CDP,April,2020-04-01,2020,April,1200,300,0.19699999999999998
Goshen CDP,May,2020-05-01,2020,May,1200,300,0.185
Goshen CDP,June,2020-06-01,2020,June,1200,300,0.174
Goshen CDP,July,2020-07-01,2020,July,1200,200,0.16399999999999998
Goshen CDP,August,2020-08-01,2020,August,1200,200,0.126
Goshen CDP,September,2020-09-01,2020,September,1200,200,0.125
Graeagle CDP,March,2020-03-01,2020,March,170,20,0.121
Graeagle CDP,April,2020-04-01,2020,April,140,30,0.18600000000000003
Graeagle CDP,May,2020-05-01,2020,May,140,30,0.149
Graeagle CDP,June,2020-06-01,2020,June,160,20,0.12300000000000001
Graeagle CDP,July,2020-07-01,2020,July,170,20,0.098
Graeagle CDP,August,2020-08-01,2020,August,190,10,0.067
Graeagle CDP,September,2020-09-01,2020,September,190,10,0.07
Grand Terrace city,March,2020-03-01,2020,March,6200,300,0.05
Grand Terrace city,April,2020-04-01,2020,April,5500,900,0.13699999999999998
Grand Terrace city,May,2020-05-01,2020,May,5400,900,0.141
Grand Terrace city,June,2020-06-01,2020,June,5600,900,0.138
Grand Terrace city,July,2020-07-01,2020,July,5700,900,0.132
Grand Terrace city,August,2020-08-01,2020,August,5800,700,0.10300000000000001
Grand Terrace city,September,2020-09-01,2020,September,5800,700,0.10300000000000001
Granite Bay CDP,March,2020-03-01,2020,March,10100,500,0.043
Granite Bay CDP,April,2020-04-01,2020,April,8800,1400,0.138
Granite Bay CDP,May,2020-05-01,2020,May,8900,1400,0.132
Granite Bay CDP,June,2020-06-01,2020,June,9100,1200,0.11800000000000001
Granite Bay CDP,July,2020-07-01,2020,July,9200,1100,0.10400000000000001
Granite Bay CDP,August,2020-08-01,2020,August,9400,800,0.079
Granite Bay CDP,September,2020-09-01,2020,September,9500,800,0.075
Grass Valley city,March,2020-03-01,2020,March,5390,340,0.06
Grass Valley city,April,2020-04-01,2020,April,4340,990,0.185
Grass Valley city,May,2020-05-01,2020,May,4050,870,0.17600000000000002
Grass Valley city,June,2020-06-01,2020,June,4270,810,0.16
Grass Valley city,July,2020-07-01,2020,July,4670,710,0.133
Grass Valley city,August,2020-08-01,2020,August,4990,530,0.096
Grass Valley city,September,2020-09-01,2020,September,5050,510,0.092
Graton CDP,March,2020-03-01,2020,March,700,100,0.071
Graton CDP,April,2020-04-01,2020,April,600,200,0.254
Graton CDP,May,2020-05-01,2020,May,600,200,0.23
Graton CDP,June,2020-06-01,2020,June,700,200,0.209
Graton CDP,July,2020-07-01,2020,July,700,100,0.182
Graton CDP,August,2020-08-01,2020,August,700,100,0.14
Graton CDP,September,2020-09-01,2020,September,700,100,0.135
Green Valley CDP,March,2020-03-01,2020,March,800,0,0.0
Green Valley CDP,April,2020-04-01,2020,April,700,0,0.0
Green Valley CDP,May,2020-05-01,2020,May,700,0,0.0
Green Valley CDP,June,2020-06-01,2020,June,700,0,0.0
Green Valley CDP,July,2020-07-01,2020,July,700,0,0.0
Green Valley CDP,August,2020-08-01,2020,August,700,0,0.0
Green Valley CDP,September,2020-09-01,2020,September,700,0,0.0
Greenfield city,March,2020-03-01,2020,March,7200,800,0.105
Greenfield city,April,2020-04-01,2020,April,6000,1300,0.17800000000000002
Greenfield city,May,2020-05-01,2020,May,6200,1000,0.14300000000000002
Greenfield city,June,2020-06-01,2020,June,6500,900,0.124
Greenfield city,July,2020-07-01,2020,July,6600,800,0.10300000000000001
Greenfield city,August,2020-08-01,2020,August,6600,500,0.076
Greenfield city,September,2020-09-01,2020,September,6600,500,0.075
Greenhorn CDP,March,2020-03-01,2020,March,110,30,0.209
Greenhorn CDP,April,2020-04-01,2020,April,90,40,0.302
Greenhorn CDP,May,2020-05-01,2020,May,90,30,0.25
Greenhorn CDP,June,2020-06-01,2020,June,100,30,0.20800000000000002
Greenhorn CDP,July,2020-07-01,2020,July,110,20,0.172
Greenhorn CDP,August,2020-08-01,2020,August,120,20,0.126
Greenhorn CDP,September,2020-09-01,2020,September,110,20,0.124
Greenville CDP,March,2020-03-01,2020,March,340,130,0.273
Greenville CDP,April,2020-04-01,2020,April,280,180,0.387
Greenville CDP,May,2020-05-01,2020,May,280,130,0.324
Greenville CDP,June,2020-06-01,2020,June,300,120,0.276
Greenville CDP,July,2020-07-01,2020,July,340,100,0.233
Greenville CDP,August,2020-08-01,2020,August,370,80,0.16899999999999998
Greenville CDP,September,2020-09-01,2020,September,360,70,0.16899999999999998
Gridley city,March,2020-03-01,2020,March,2400,200,0.077
Gridley city,April,2020-04-01,2020,April,2100,400,0.172
Gridley city,May,2020-05-01,2020,May,2100,400,0.14800000000000002
Gridley city,June,2020-06-01,2020,June,2200,300,0.136
Gridley city,July,2020-07-01,2020,July,2200,300,0.125
Gridley city,August,2020-08-01,2020,August,2200,200,0.096
Gridley city,September,2020-09-01,2020,September,2300,200,0.095
Grover Beach city,March,2020-03-01,2020,March,6600,300,0.049
Grover Beach city,April,2020-04-01,2020,April,5500,1200,0.172
Grover Beach city,May,2020-05-01,2020,May,5500,1000,0.159
Grover Beach city,June,2020-06-01,2020,June,5700,900,0.142
Grover Beach city,July,2020-07-01,2020,July,5800,800,0.125
Grover Beach city,August,2020-08-01,2020,August,5800,600,0.095
Grover Beach city,September,2020-09-01,2020,September,5800,600,0.09
Guadalupe city,March,2020-03-01,2020,March,3100,200,0.048
Guadalupe city,April,2020-04-01,2020,April,2800,400,0.11699999999999999
Guadalupe city,May,2020-05-01,2020,May,2800,300,0.109
Guadalupe city,June,2020-06-01,2020,June,2900,300,0.09699999999999999
Guadalupe city,July,2020-07-01,2020,July,2900,300,0.086
Guadalupe city,August,2020-08-01,2020,August,3000,200,0.064
Guadalupe city,September,2020-09-01,2020,September,3000,200,0.062
Guerneville CDP,March,2020-03-01,2020,March,2400,100,0.04
Guerneville CDP,April,2020-04-01,2020,April,2100,400,0.154
Guerneville CDP,May,2020-05-01,2020,May,2100,300,0.138
Guerneville CDP,June,2020-06-01,2020,June,2200,300,0.124
Guerneville CDP,July,2020-07-01,2020,July,2200,300,0.106
Guerneville CDP,August,2020-08-01,2020,August,2200,200,0.08
Guerneville CDP,September,2020-09-01,2020,September,2300,200,0.077
Gustine city,March,2020-03-01,2020,March,2400,400,0.13699999999999998
Gustine city,April,2020-04-01,2020,April,2200,500,0.19399999999999998
Gustine city,May,2020-05-01,2020,May,2300,500,0.17
Gustine city,June,2020-06-01,2020,June,2300,400,0.162
Gustine city,July,2020-07-01,2020,July,2300,400,0.15
Gustine city,August,2020-08-01,2020,August,2400,300,0.11199999999999999
Gustine city,September,2020-09-01,2020,September,2400,300,0.11
Hacienda Heights CDP,March,2020-03-01,2020,March,24200,1300,0.052000000000000005
Hacienda Heights CDP,April,2020-04-01,2020,April,19700,3900,0.166
Hacienda Heights CDP,May,2020-05-01,2020,May,19400,4000,0.17
Hacienda Heights CDP,June,2020-06-01,2020,June,20500,3900,0.16
Hacienda Heights CDP,July,2020-07-01,2020,July,21000,3700,0.15
Hacienda Heights CDP,August,2020-08-01,2020,August,21300,3400,0.136
Hacienda Heights CDP,September,2020-09-01,2020,September,21800,3000,0.122
Half Moon Bay city,March,2020-03-01,2020,March,7500,200,0.022000000000000002
Half Moon Bay city,April,2020-04-01,2020,April,6500,600,0.09
Half Moon Bay city,May,2020-05-01,2020,May,6400,600,0.08800000000000001
Half Moon Bay city,June,2020-06-01,2020,June,6700,600,0.085
Half Moon Bay city,July,2020-07-01,2020,July,6800,500,0.073
Half Moon Bay city,August,2020-08-01,2020,August,6900,400,0.055999999999999994
Half Moon Bay city,September,2020-09-01,2020,September,6900,400,0.055999999999999994
Hamilton Branch CDP,March,2020-03-01,2020,March,180,50,0.228
Hamilton Branch CDP,April,2020-04-01,2020,April,150,70,0.33299999999999996
Hamilton Branch CDP,May,2020-05-01,2020,May,150,60,0.276
Hamilton Branch CDP,June,2020-06-01,2020,June,160,50,0.23
Hamilton Branch CDP,July,2020-07-01,2020,July,180,40,0.19399999999999998
Hamilton Branch CDP,August,2020-08-01,2020,August,200,30,0.138
Hamilton Branch CDP,September,2020-09-01,2020,September,190,30,0.139
Hamilton City CDP,March,2020-03-01,2020,March,950,100,0.09300000000000001
Hamilton City CDP,April,2020-04-01,2020,April,760,150,0.166
Hamilton City CDP,May,2020-05-01,2020,May,760,120,0.141
Hamilton City CDP,June,2020-06-01,2020,June,760,120,0.132
Hamilton City CDP,July,2020-07-01,2020,July,840,110,0.11199999999999999
Hamilton City CDP,August,2020-08-01,2020,August,900,80,0.08
Hamilton City CDP,September,2020-09-01,2020,September,930,80,0.076
Hanford city,March,2020-03-01,2020,March,22800,2600,0.10099999999999999
Hanford city,April,2020-04-01,2020,April,20900,4000,0.162
Hanford city,May,2020-05-01,2020,May,21100,3700,0.15
Hanford city,June,2020-06-01,2020,June,21500,3300,0.134
Hanford city,July,2020-07-01,2020,July,21700,3100,0.125
Hanford city,August,2020-08-01,2020,August,21700,2400,0.099
Hanford city,September,2020-09-01,2020,September,21800,2500,0.102
Hanford-Corcoran MSA,March,2020-03-01,2020,March,51800,7300,0.124
Hanford-Corcoran MSA,April,2020-04-01,2020,April,47400,9700,0.17
Hanford-Corcoran MSA,May,2020-05-01,2020,May,48100,8900,0.156
Hanford-Corcoran MSA,June,2020-06-01,2020,June,48800,8200,0.14400000000000002
Hanford-Corcoran MSA,July,2020-07-01,2020,July,49400,7400,0.13
Hanford-Corcoran MSA,August,2020-08-01,2020,August,49400,5600,0.10099999999999999
Hanford-Corcoran MSA,September,2020-09-01,2020,September,49500,5700,0.10300000000000001
"Hanford-Corcoran, CA MSA",March,2020-03-01,2020,March,53382,6271,0.105
"Hanford-Corcoran, CA MSA",April,2020-04-01,2020,April,47769,9492,0.166
"Hanford-Corcoran, CA MSA",May,2020-05-01,2020,May,47531,9480,0.166
"Hanford-Corcoran, CA MSA",June,2020-06-01,2020,June,48362,8214,0.145
"Hanford-Corcoran, CA MSA",July,2020-07-01,2020,July,48493,7546,0.135
"Hanford-Corcoran, CA MSA",August,2020-08-01,2020,August,48597,6553,0.11900000000000001
Hawaiian Gardens city,March,2020-03-01,2020,March,5800,400,0.069
Hawaiian Gardens city,April,2020-04-01,2020,April,4700,1300,0.213
Hawaiian Gardens city,May,2020-05-01,2020,May,4700,1300,0.217
Hawaiian Gardens city,June,2020-06-01,2020,June,4900,1300,0.205
Hawaiian Gardens city,July,2020-07-01,2020,July,5000,1200,0.193
Hawaiian Gardens city,August,2020-08-01,2020,August,5100,1100,0.17600000000000002
Hawaiian Gardens city,September,2020-09-01,2020,September,5200,1000,0.158
Hawthorne city,March,2020-03-01,2020,March,41000,2900,0.065
Hawthorne city,April,2020-04-01,2020,April,33200,10100,0.233
Hawthorne city,May,2020-05-01,2020,May,32800,10400,0.24100000000000002
Hawthorne city,June,2020-06-01,2020,June,34700,10200,0.228
Hawthorne city,July,2020-07-01,2020,July,35400,9700,0.215
Hawthorne city,August,2020-08-01,2020,August,36000,9000,0.2
Hawthorne city,September,2020-09-01,2020,September,36800,8400,0.185
Hayfork CDP,March,2020-03-01,2020,March,870,20,0.025
Hayfork CDP,April,2020-04-01,2020,April,810,30,0.036000000000000004
Hayfork CDP,May,2020-05-01,2020,May,810,30,0.03
Hayfork CDP,June,2020-06-01,2020,June,880,20,0.026000000000000002
Hayfork CDP,July,2020-07-01,2020,July,870,20,0.024
Hayfork CDP,August,2020-08-01,2020,August,890,20,0.018000000000000002
Hayfork CDP,September,2020-09-01,2020,September,860,20,0.018000000000000002
Hayward city,March,2020-03-01,2020,March,73900,3200,0.042
Hayward city,April,2020-04-01,2020,April,63700,13200,0.171
Hayward city,May,2020-05-01,2020,May,63900,12500,0.16399999999999998
Hayward city,June,2020-06-01,2020,June,65700,12300,0.158
Hayward city,July,2020-07-01,2020,July,66200,10900,0.142
Hayward city,August,2020-08-01,2020,August,66900,8400,0.11199999999999999
Hayward city,September,2020-09-01,2020,September,67400,8300,0.11
Healdsburg city,March,2020-03-01,2020,March,5800,200,0.034
Healdsburg city,April,2020-04-01,2020,April,5000,800,0.133
Healdsburg city,May,2020-05-01,2020,May,5000,700,0.11900000000000001
Healdsburg city,June,2020-06-01,2020,June,5200,600,0.106
Healdsburg city,July,2020-07-01,2020,July,5300,500,0.091
Healdsburg city,August,2020-08-01,2020,August,5400,400,0.068
Healdsburg city,September,2020-09-01,2020,September,5400,400,0.066
Heber CDP,March,2020-03-01,2020,March,1500,400,0.214
Heber CDP,April,2020-04-01,2020,April,1400,600,0.28800000000000003
Heber CDP,May,2020-05-01,2020,May,1400,500,0.285
