status,type_of_facility,county,beds_ready_to_accept_patients,patients_in_beds,beds_in_warm_status,date
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-11
Ready,Alternative Care Facility,Tulare,10.0,0,,2020-05-11
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-11
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-11
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-11
Ready,Hospital,Los Angeles,32.0,23,,2020-05-11
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-11
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-11
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-11
Ready,Federal Medical Station,San Mateo,250.0,0,,2020-05-11
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-11
Ready,Hospital,San Mateo,120.0,9,,2020-05-11
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-11
Ready,Skilled Nursing Facility,Orange,100.0,0,,2020-05-11
WARM Status,Alternative Care Facility,Orange,0.0,0,,2020-05-11
Ready,Alternative Care Facility,Orange,25.0,11,,2020-05-11
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-12
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-12
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-12
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-12
WARM Status,Alternative Care Facility,Orange,0.0,0,,2020-05-12
Ready,Skilled Nursing Facility,Orange,100.0,0,,2020-05-12
Ready,Arena,Sacramento,320.0,6,,2020-05-12
Ready,Federal Medical Station,San Mateo,250.0,0,,2020-05-12
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-12
Ready,Hospital,San Mateo,120.0,8,,2020-05-12
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-12
Ready,Alternative Care Facility,Orange,25.0,12,,2020-05-12
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-12
Ready,Hospital,Los Angeles,32.0,22,,2020-05-12
Ready,Alternative Care Facility,Tulare,10.0,0,,2020-05-12
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-12
Ready,Federal Medical Station,Butte,125.0,0,,2020-05-12
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-12
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-12
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-13
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-13
Ready,Hospital,San Mateo,120.0,9,,2020-05-13
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-13
Ready,Alternative Care Facility,Orange,25.0,9,,2020-05-13
Ready,Hospital,Los Angeles,32.0,22,,2020-05-13
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-13
Ready,Federal Medical Station,San Mateo,250.0,0,,2020-05-13
Ready,Skilled Nursing Facility,Orange,100.0,0,,2020-05-13
WARM Status,Alternative Care Facility,Orange,0.0,0,,2020-05-13
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-13
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-13
Ready,Alternative Care Facility,Tulare,10.0,0,,2020-05-13
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-13
Ready,Arena,Sacramento,320.0,6,,2020-05-13
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-13
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-13
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-13
Ready,Federal Medical Station,Butte,125.0,0,,2020-05-13
Ready,Hospital,San Mateo,240.0,20,,2020-05-14
Ready,Federal Medical Station,Riverside,500.0,0,,2020-05-14
Ready,Federal Medical Station,Butte,250.0,0,,2020-05-14
Ready,Alternative Care Facility,Tulare,20.0,2,,2020-05-14
Ready,Hospital,Los Angeles,64.0,44,,2020-05-14
Ready,Federal Medical Station,Contra Costa,500.0,0,,2020-05-14
Ready,Skilled Nursing Facility,Riverside,198.0,0,,2020-05-14
Ready,Federal Medical Station,San Diego,400.0,0,,2020-05-14
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-14
Ready,Skilled Nursing Facility,Orange,200.0,4,,2020-05-14
Ready,Federal Medical Station,Los Angeles,350.0,0,,2020-05-14
Ready,Federal Medical Station,Fresno,250.0,0,,2020-05-14
Ready,Alternative Care Facility,Orange,50.0,18,,2020-05-14
Ready,Skilled Nursing Facility,San Francisco,22.0,0,,2020-05-14
Ready,Arena,Sacramento,640.0,10,,2020-05-14
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-14
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-14
Ready,Federal Medical Station,San Mateo,500.0,0,,2020-05-14
WARM Status,Alternative Care Facility,Orange,0.0,4,,2020-05-14
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-15
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-15
Ready,Hospital,San Mateo,120.0,9,,2020-05-15
Ready,Arena,Sacramento,328.0,4,,2020-05-15
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-15
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-15
Ready,Skilled Nursing Facility,Orange,100.0,9,,2020-05-15
WARM Status,Alternative Care Facility,Orange,0.0,0,,2020-05-15
Ready,Alternative Care Facility,Orange,150.0,9,,2020-05-15
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-15
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-15
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-15
Ready,Hospital,Los Angeles,32.0,21,,2020-05-15
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-15
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-15
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-15
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-15
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-15
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-15
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-16
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-16
Ready,Skilled Nursing Facility,Orange,100.0,9,,2020-05-16
WARM Status,Alternative Care Facility,Orange,0.0,0,,2020-05-16
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-16
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-16
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-16
Ready,Arena,Sacramento,328.0,4,,2020-05-16
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-16
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-16
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-16
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-16
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-16
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-16
Ready,Hospital,Los Angeles,32.0,21,,2020-05-16
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-16
Ready,Alternative Care Facility,Orange,150.0,10,,2020-05-16
Ready,Hospital,San Mateo,120.0,7,,2020-05-16
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-16
Ready,Alternative Care Facility,Tulare,142.0,2,,2020-05-17
Ready,Skilled Nursing Facility,Riverside,198.0,0,,2020-05-17
Ready,Federal Medical Station,San Diego,400.0,0,,2020-05-17
Ready,Federal Medical Station,Riverside,500.0,0,,2020-05-17
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-17
Ready,Hospital,San Mateo,240.0,18,,2020-05-17
Ready,Federal Medical Station,Contra Costa,500.0,0,,2020-05-17
WARM Status,Alternative Care Facility,Orange,0.0,18,,2020-05-17
Ready,Skilled Nursing Facility,San Francisco,22.0,0,,2020-05-17
Ready,Hospital,Los Angeles,64.0,42,,2020-05-17
Ready,Skilled Nursing Facility,Orange,200.0,18,,2020-05-17
Ready,Arena,Sacramento,656.0,8,,2020-05-17
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-17
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-17
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-17
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-17
Ready,Federal Medical Station,Fresno,250.0,0,,2020-05-17
Ready,Federal Medical Station,Los Angeles,350.0,0,,2020-05-17
Ready,Alternative Care Facility,Orange,300.0,14,,2020-05-17
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-18
Ready,Hospital,San Mateo,120.0,10,,2020-05-18
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-18
Ready,Alternative Care Facility,Orange,150.0,9,,2020-05-18
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-18
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-18
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-18
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-18
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-18
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-18
Ready,Arena,Sacramento,328.0,4,,2020-05-18
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-18
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-18
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-18
Ready,Skilled Nursing Facility,Orange,100.0,9,,2020-05-18
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-18
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-18
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-18
Ready,Hospital,Los Angeles,32.0,21,,2020-05-18
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-19
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-19
Ready,Arena,Sacramento,328.0,4,,2020-05-19
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-19
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-19
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-19
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-19
Ready,Hospital,Los Angeles,32.0,9,,2020-05-19
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-19
Ready,Alternative Care Facility,Orange,150.0,12,,2020-05-19
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-19
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-19
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-19
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-19
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-19
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-19
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-19
Ready,Skilled Nursing Facility,Orange,100.0,9,,2020-05-19
Ready,Hospital,San Mateo,120.0,12,,2020-05-19
Ready,Hospital,San Mateo,120.0,10,,2020-05-20
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-20
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-20
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-20
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-20
Ready,Hospital,Los Angeles,32.0,6,,2020-05-20
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-20
Ready,Arena,Sacramento,328.0,0,,2020-05-20
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-20
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-20
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-20
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-05-20
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-20
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-20
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-20
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-20
Ready,Skilled Nursing Facility,Orange,100.0,9,,2020-05-20
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-05-20
Ready,Alternative Care Facility,Orange,150.0,12,,2020-05-20
Ready,Arena,Sacramento,68.0,0,,2020-05-21
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-21
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-21
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-21
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-21
Ready,Alternative Care Facility,Orange,150.0,8,,2020-05-21
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-21
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-21
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-21
Ready,Hospital,San Mateo,120.0,11,,2020-05-21
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-21
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-21
Ready,Skilled Nursing Facility,Orange,100.0,8,,2020-05-21
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-21
Ready,Hospital,Los Angeles,32.0,4,,2020-05-21
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-21
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-21
Ready,Hospital,San Mateo,120.0,11,,2020-05-22
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-22
Ready,Alternative Care Facility,Orange,250.0,16,,2020-05-22
WrapAround,,Imperial,0.0,0,,2020-05-22
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-22
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-22
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-22
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-22
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-22
Ready,Hospital,Los Angeles,32.0,3,,2020-05-22
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-22
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-22
Ready,Arena,Sacramento,68.0,0,,2020-05-22
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-22
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-22
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-22
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-22
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-23
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-23
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-23
Ready,Hospital,Los Angeles,32.0,3,,2020-05-23
Ready,Alternative Care Facility,Orange,250.0,16,,2020-05-23
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-23
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-23
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-23
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-23
WrapAround,,Imperial,0.0,0,,2020-05-23
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-23
Ready,Arena,Sacramento,68.0,0,,2020-05-23
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-23
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-23
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-23
Ready,Hospital,San Mateo,120.0,9,,2020-05-23
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-23
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-24
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-24
Ready,Hospital,Los Angeles,32.0,3,,2020-05-24
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-24
WrapAround,,Imperial,0.0,0,,2020-05-24
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-24
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-24
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-24
Ready,Arena,Sacramento,68.0,0,,2020-05-24
Ready,Hospital,San Mateo,120.0,8,,2020-05-24
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-24
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-24
Ready,Alternative Care Facility,Orange,250.0,18,,2020-05-24
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-24
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-24
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-24
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-24
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-25
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-25
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-25
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-25
Ready,Hospital,Los Angeles,32.0,3,,2020-05-25
WrapAround,,Imperial,0.0,0,,2020-05-25
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-25
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-25
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-25
Ready,Arena,Sacramento,68.0,0,,2020-05-25
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-25
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-25
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-25
Ready,Alternative Care Facility,Orange,250.0,18,,2020-05-25
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-25
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-25
Ready,Hospital,San Mateo,120.0,6,,2020-05-25
Ready,Federal Medical Station,Imperial,125.0,0,,2020-05-26
Ready,Alternative Care Facility,Orange,250.0,17,,2020-05-26
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-26
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-26
Ready,Hospital,San Mateo,120.0,7,,2020-05-26
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-26
Ready,Hospital,Los Angeles,32.0,3,,2020-05-26
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-26
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-26
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-26
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-26
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-26
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-26
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-26
Ready,Arena,Sacramento,68.0,0,,2020-05-26
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-26
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-26
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-27
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-27
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-27
Ready,Hospital,San Mateo,120.0,7,,2020-05-27
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-27
Ready,Alternative Care Facility,Orange,250.0,16,,2020-05-27
Ready,Federal Medical Station,Imperial,125.0,0,,2020-05-27
Ready,Hospital,Los Angeles,32.0,3,,2020-05-27
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-27
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-27
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-27
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-27
Ready,Arena,Sacramento,68.0,0,,2020-05-27
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-27
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-27
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-27
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-27
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-28
Ready,Hospital,San Mateo,120.0,8,,2020-05-28
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-28
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-28
Ready,Alternative Care Facility,Orange,250.0,15,,2020-05-28
Ready,Federal Medical Station,Imperial,125.0,0,,2020-05-28
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-28
Ready,Hospital,Los Angeles,32.0,0,,2020-05-28
Ready,Federal Medical Station,Riverside,250.0,0,,2020-05-28
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-28
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-28
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-28
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-28
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-28
Ready,Arena,Sacramento,68.0,0,,2020-05-28
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-28
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-28
Ready,Federal Medical Station,Imperial,125.0,4,,2020-05-29
Ready,Hospital,San Mateo,120.0,9,,2020-05-29
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-29
WARM Status,Federal Medical Station,Riverside,0.0,0,,2020-05-29
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-29
Ready,Alternative Care Facility,Orange,250.0,15,,2020-05-29
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-29
Ready,Hospital,Los Angeles,32.0,0,,2020-05-29
Ready,Federal Medical Station,Riverside,125.0,0,,2020-05-29
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-29
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-29
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-29
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-29
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-29
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-29
Ready,Arena,Sacramento,68.0,0,,2020-05-29
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-29
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-05-29
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-30
Ready,Hospital,San Mateo,120.0,13,,2020-05-30
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-30
WARM Status,Federal Medical Station,Riverside,0.0,0,,2020-05-30
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-30
Ready,Alternative Care Facility,Orange,250.0,14,,2020-05-30
Ready,Federal Medical Station,Imperial,125.0,4,,2020-05-30
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-30
Ready,Alternative Care Facility,Tulare,71.0,0,,2020-05-30
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-30
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-30
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-30
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-30
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-30
Ready,Arena,Sacramento,68.0,0,,2020-05-30
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-30
Ready,Federal Medical Station,Riverside,125.0,0,,2020-05-30
Ready,Hospital,Los Angeles,32.0,0,,2020-05-30
Ready,Federal Medical Station,Imperial,125.0,4,,2020-05-31
Ready,Arena,Sacramento,68.0,0,,2020-05-31
Ready,Hospital,San Mateo,120.0,16,,2020-05-31
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-05-31
WARM Status,Federal Medical Station,Riverside,0.0,0,,2020-05-31
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-05-31
Ready,Alternative Care Facility,Orange,250.0,15,,2020-05-31
Ready,Federal Medical Station,San Diego,200.0,0,,2020-05-31
Ready,Hospital,Los Angeles,32.0,0,,2020-05-31
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-05-31
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-05-31
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-05-31
Ready,Federal Medical Station,Fresno,125.0,0,,2020-05-31
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-05-31
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-05-31
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-05-31
Ready,Federal Medical Station,Riverside,125.0,0,,2020-05-31
Ready,Alternative Care Facility,Tulare,71.0,0,,2020-05-31
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-06-01
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-06-01
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-06-01
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-06-01
Ready,Hospital,San Mateo,120.0,14,,2020-06-01
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-06-01
WARM Status,Federal Medical Station,Riverside,0.0,0,,2020-06-01
Ready,Alternative Care Facility,Orange,250.0,14,,2020-06-01
Ready,Federal Medical Station,Imperial,125.0,0,,2020-06-01
Ready,Federal Medical Station,San Diego,200.0,0,,2020-06-01
Ready,Hospital,Los Angeles,32.0,0,,2020-06-01
Ready,Alternative Care Facility,Tulare,71.0,0,,2020-06-01
Ready,Federal Medical Station,Riverside,125.0,0,,2020-06-01
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-06-01
Ready,Arena,Sacramento,68.0,0,,2020-06-01
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-06-01
Ready,Federal Medical Station,Fresno,125.0,0,,2020-06-01
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-06-01
WARM Status,Federal Medical Station,Riverside,0.0,0,,2020-06-02
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-06-02
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-06-02
Ready,Hospital,San Mateo,120.0,11,,2020-06-02
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-06-02
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-06-02
Ready,Alternative Care Facility,Orange,250.0,13,,2020-06-02
Ready,Federal Medical Station,Imperial,125.0,0,,2020-06-02
Ready,Federal Medical Station,San Diego,200.0,0,,2020-06-02
Ready,Hospital,Los Angeles,32.0,0,,2020-06-02
Ready,Alternative Care Facility,Tulare,71.0,0,,2020-06-02
Ready,Federal Medical Station,Riverside,125.0,0,,2020-06-02
Ready,Arena,Sacramento,68.0,0,,2020-06-02
WARM Status,Federal Medical Station,Santa Clara,0.0,0,,2020-06-02
Ready,Federal Medical Station,Fresno,125.0,0,,2020-06-02
WARM Status,Federal Medical Station,Shasta,0.0,0,,2020-06-02
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-06-02
WARM Status,Federal Medical Station,San Mateo,0.0,0,,2020-06-02
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-06-03
WARM Status,Federal Medical Station,Riverside,0.0,0,,2020-06-03
Ready,Hospital,San Mateo,120.0,11,,2020-06-03
WARM Status,Alternative Care Facility,Orange,0.0,9,,2020-06-03
Ready,Federal Medical Station,Riverside,125.0,0,,2020-06-03
Ready,Federal Medical Station,Imperial,125.0,0,,2020-06-03
Ready,Alternative Care Facility,Tulare,71.0,1,,2020-06-03
Ready,Alternative Care Facility,Orange,250.0,13,,2020-06-03
WARM Status,Federal Medical Station,Butte,0.0,0,,2020-06-03
Ready,Arena,Sacramento,68.0,0,,2020-06-03
WARM Status,Skilled Nursing Facility,Tulare,0.0,0,,2020-06-03
