County,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Shasta,5/28/20,0,0,0,667,0,0,9
San Joaquin,5/28/20,15,25,40,1366,5,5,16
Mariposa,5/28/20,0,2,2,30,0,0,
Alameda,5/28/20,96,57,153,2968,44,13,106
Plumas,5/28/20,0,0,0,45,0,0,
Siskiyou,5/28/20,0,0,0,65,0,0,6
Fresno,5/28/20,68,39,107,2131,16,2,82
Sonoma,5/28/20,8,30,38,871,2,2,46
San Bernardino,5/28/20,156,87,243,4821,53,17,186
Kern,5/28/20,58,8,66,1744,25,0,77
Nevada,5/28/20,1,2,3,128,1,1,5
Modoc,5/28/20,0,0,0,41,0,0,
Contra Costa,5/28/20,13,38,51,1628,7,7,103
Butte,5/28/20,5,1,6,448,3,0,22
Yolo,5/28/20,0,0,0,186,0,0,8
Madera,5/28/20,1,0,1,528,0,0,25
Marin,5/28/20,3,7,10,390,1,0,14
Napa,5/28/20,1,1,2,387,1,0,1
San Francisco,5/28/20,49,42,91,2619,20,9,83
Amador,5/28/20,0,1,1,51,0,0,4
San Benito,5/28/20,0,0,0,25,0,0,0
Imperial,5/28/20,61,7,68,199,19,1,10
Lassen,5/28/20,0,1,1,25,0,0,
Del Norte,5/28/20,0,0,0,51,0,0,4
Colusa,5/28/20,0,0,0,88,0,0,6
Sacramento,5/28/20,14,27,41,2395,8,4,95
Humboldt,5/28/20,5,4,9,352,1,0,5
Tulare,5/28/20,37,2,39,920,10,1,8
Glenn,5/28/20,0,0,0,47,0,0,
Solano,5/28/20,19,16,35,707,8,0,40
Inyo,5/28/20,0,0,0,42,0,0,4
Yuba,5/28/20,1,0,1,445,0,0,11
Kings,5/28/20,25,0,25,199,7,0,2
Sutter,5/28/20,0,0,0,14,0,0,
Lake,5/28/20,0,1,1,110,0,0,0
Los Angeles,5/28/20,1415,639,2054,23608,458,112,1275
Trinity,5/28/20,0,3,3,54,0,0,
San Luis Obispo,5/28/20,2,0,2,475,2,0,24
Kings,5/29/20,27,1,28,199,7,0,2
San Bernardino,5/29/20,134,95,229,4821,50,13,164
Humboldt,5/29/20,5,8,13,352,0,0,7
Tuolumne,5/29/20,0,0,0,151,0,0,2
San Joaquin,5/29/20,17,24,41,1366,5,6,17
Shasta,5/29/20,0,0,0,667,0,0,9
Santa Clara,5/29/20,26,22,48,3318,13,1,182
Orange,5/29/20,262,62,324,6993,100,8,409
Tehama,5/29/20,0,0,0,106,0,0,1
San Mateo,5/29/20,37,8,45,1096,14,1,47
Sutter,5/29/20,0,0,0,14,0,0,
San Francisco,5/29/20,49,16,65,2619,19,6,88
Lake,5/29/20,0,1,1,110,0,0,0
Trinity,5/29/20,0,0,0,54,0,0,
Kern,5/29/20,54,16,70,1741,28,1,70
Lassen,5/29/20,0,1,1,25,0,0,
Imperial,5/29/20,60,4,64,192,17,1,11
El Dorado,5/29/20,1,5,6,199,1,3,8
Fresno,5/29/20,63,44,107,2145,17,5,86
Sacramento,5/29/20,14,23,37,2416,8,9,84
Sonoma,5/29/20,7,37,44,871,2,6,51
San Luis Obispo,5/29/20,3,5,8,469,3,3,13
Merced,5/29/20,6,7,13,242,4,1,5
Mariposa,5/29/20,0,2,2,30,0,0,
Tulare,5/29/20,37,3,40,920,11,2,17
Modoc,5/29/20,0,0,0,41,0,0,
San Benito,5/29/20,0,0,0,25,0,0,1
Inyo,5/29/20,0,0,0,42,0,0,3
Los Angeles,5/29/20,1402,570,1972,23642,446,103,1258
Stanislaus,5/29/20,13,11,24,1370,7,2,75
Nevada,5/29/20,0,2,2,130,0,0,8
Calaveras,5/29/20,1,1,2,50,1,1,9
Alameda,5/29/20,102,77,179,2968,42,12,118
Glenn,5/29/20,0,0,0,47,0,0,
Monterey,5/29/20,10,1,11,811,3,0,116
Mendocino,5/29/20,2,0,2,180,1,0,3
Santa Barbara,5/29/20,16,11,27,717,8,4,76
Solano,5/29/20,20,11,31,707,8,2,38
Siskiyou,5/29/20,1,0,1,65,0,0,5
Placer,5/29/20,8,15,23,753,4,1,35
Del Norte,5/29/20,0,0,0,51,0,0,3
San Diego,5/29/20,300,58,358,6192,138,16,291
Riverside,5/29/20,191,79,270,3994,62,14,128
Ventura,5/29/20,31,16,47,1352,10,6,47
Mono,5/29/20,0,0,0,40,0,0,2
Napa,5/29/20,0,0,0,387,1,0,4
Colusa,5/29/20,0,0,0,88,0,0,6
Contra Costa,5/29/20,15,35,50,1628,8,3,101
Amador,5/29/20,0,0,0,51,0,0,3
Madera,5/29/20,0,0,0,528,0,0,22
Butte,5/29/20,6,0,6,448,2,0,18
Yolo,5/29/20,0,0,0,186,0,0,5
Santa Cruz,5/29/20,3,9,12,397,1,0,18
Plumas,5/29/20,0,1,1,45,0,0,
Marin,5/29/20,4,6,10,390,1,1,19
Yuba,5/29/20,1,0,1,445,0,0,11
Sonoma,5/30/20,5,56,61,871,2,10,46
Lake,5/30/20,0,0,0,110,0,0,0
San Benito,5/30/20,0,0,0,25,0,0,2
Contra Costa,5/30/20,14,32,46,1628,7,4,97
Los Angeles,5/30/20,1357,577,1934,23636,440,100,1288
Mariposa,5/30/20,0,2,2,30,0,0,
Calaveras,5/30/20,1,1,2,50,1,1,9
Colusa,5/30/20,0,0,0,88,0,0,6
Siskiyou,5/30/20,0,0,0,65,0,1,2
Ventura,5/30/20,26,20,46,1332,11,12,42
Kings,5/30/20,27,1,28,199,9,0,0
Amador,5/30/20,0,0,0,51,0,0,4
Stanislaus,5/30/20,14,8,22,1369,9,1,77
Sacramento,5/30/20,14,23,37,2402,8,9,86
Plumas,5/30/20,0,1,1,45,0,0,
Alameda,5/30/20,105,41,146,2968,38,12,126
Solano,5/30/20,18,11,29,707,7,2,39
Marin,5/30/20,3,5,8,390,1,0,18
Riverside,5/30/20,185,84,269,3954,61,15,133
Modoc,5/30/20,0,0,0,41,0,0,
Merced,5/30/20,7,7,14,242,3,1,4
Shasta,5/30/20,1,0,1,667,1,0,10
Tuolumne,5/30/20,0,0,0,151,0,0,4
Mono,5/30/20,0,0,0,40,0,0,2
Napa,5/30/20,0,4,4,387,0,2,1
Nevada,5/30/20,0,1,1,126,0,0,8
Imperial,5/30/20,73,8,81,217,22,0,6
Tulare,5/30/20,37,2,39,920,12,2,19
Lassen,5/30/20,0,1,1,25,0,0,
Santa Clara,5/30/20,29,17,46,3318,11,0,175
Butte,5/30/20,6,0,6,448,2,0,24
Yuba,5/30/20,1,0,1,445,0,0,12
Orange,5/30/20,291,131,422,6993,122,26,396
Kern,5/30/20,55,21,76,1564,29,2,72
San Bernardino,5/30/20,130,95,225,4821,52,12,203
Sutter,5/30/20,0,0,0,14,0,0,
Trinity,5/30/20,0,0,0,54,0,0,
San Mateo,5/30/20,44,13,57,1096,13,2,51
Fresno,5/30/20,70,48,118,2147,17,2,89
Madera,5/30/20,1,2,3,528,0,0,17
Del Norte,5/30/20,0,0,0,51,0,0,3
Tehama,5/30/20,0,0,0,106,0,0,8
Yolo,5/30/20,0,0,0,186,0,0,3
Monterey,5/30/20,11,0,11,811,3,0,95
Santa Barbara,5/30/20,18,8,26,717,7,3,90
Santa Cruz,5/30/20,3,9,12,397,1,0,18
San Diego,5/30/20,311,86,397,6197,144,17,302
San Joaquin,5/30/20,19,23,42,1366,6,8,15
San Luis Obispo,5/30/20,3,2,5,464,3,0,13
Glenn,5/30/20,0,0,0,47,0,0,
El Dorado,5/30/20,1,6,7,199,1,6,8
Mendocino,5/30/20,2,0,2,180,1,0,4
Humboldt,5/30/20,5,12,17,352,0,1,4
San Francisco,5/30/20,47,17,64,2619,19,6,78
Placer,5/30/20,6,16,22,753,4,0,42
Inyo,5/30/20,0,0,0,42,0,0,3
Lassen,5/31/20,0,1,1,25,0,0,
Merced,5/31/20,6,5,11,242,3,1,5
Nevada,5/31/20,0,0,0,127,0,0,3
San Luis Obispo,5/31/20,3,1,4,455,3,1,20
Monterey,5/31/20,9,0,9,811,4,0,98
San Francisco,5/31/20,50,19,69,2619,22,4,91
San Mateo,5/31/20,46,10,56,1096,26,1,39
Riverside,5/31/20,195,99,294,3954,62,15,141
Madera,5/31/20,2,2,4,528,1,0,23
Inyo,5/31/20,0,0,0,42,0,0,4
Colusa,5/31/20,0,1,1,88,0,0,6
Amador,5/31/20,0,0,0,51,0,0,0
Siskiyou,5/31/20,0,0,0,65,0,1,1
Tehama,5/31/20,0,0,0,106,0,0,7
Kings,5/31/20,28,2,30,199,10,0,0
Kern,5/31/20,59,16,75,1732,30,2,64
Yolo,5/31/20,0,0,0,186,0,0,3
Sonoma,5/31/20,5,44,49,871,2,8,48
Marin,5/31/20,2,6,8,390,1,0,17
Lake,5/31/20,1,0,1,110,0,0,0
Trinity,5/31/20,0,1,1,54,0,0,
Tuolumne,5/31/20,0,0,0,151,0,0,3
Solano,5/31/20,19,10,29,707,5,1,38
San Benito,5/31/20,0,0,0,25,0,0,2
Del Norte,5/31/20,0,1,1,51,0,1,4
San Bernardino,5/31/20,136,73,209,4821,53,10,205
Glenn,5/31/20,0,0,0,47,0,0,
Sutter,5/31/20,0,0,0,14,0,0,
Ventura,5/31/20,25,21,46,1329,11,5,40
Mendocino,5/31/20,1,0,1,180,1,0,2
Yuba,5/31/20,1,0,1,445,0,0,12
Shasta,5/31/20,1,0,1,667,1,0,11
Mono,5/31/20,0,0,0,40,0,0,2
Placer,5/31/20,9,9,18,753,2,1,39
Plumas,5/31/20,0,1,1,45,0,0,
Stanislaus,5/31/20,16,17,33,1369,6,2,85
Imperial,5/31/20,73,7,80,217,22,0,6
Tulare,5/31/20,35,1,36,920,12,1,13
Calaveras,5/31/20,1,0,1,50,1,0,9
Humboldt,5/31/20,4,6,10,352,0,0,8
San Diego,5/31/20,306,92,398,6120,145,8,327
Butte,5/31/20,5,0,5,448,2,0,22
Contra Costa,5/31/20,11,32,43,1628,6,6,94
Orange,5/31/20,283,124,407,6993,120,22,408
El Dorado,5/31/20,1,6,7,199,1,3,4
San Joaquin,5/31/20,18,27,45,1366,6,8,18
Los Angeles,5/31/20,1389,519,1908,23606,416,95,1316
Alameda,5/31/20,99,33,132,2968,37,8,131
Modoc,5/31/20,0,0,0,41,0,0,
Santa Barbara,5/31/20,22,4,26,717,7,2,89
Fresno,5/31/20,68,52,120,2138,18,10,83
Santa Cruz,5/31/20,3,10,13,397,1,0,18
Napa,5/31/20,0,2,2,387,0,0,11
Mariposa,5/31/20,0,0,0,30,0,0,
Sacramento,5/31/20,16,18,34,2393,7,2,94
Santa Clara,5/31/20,25,13,38,3318,9,2,196
Yolo,6/1/20,0,0,0,186,0,0,4
Calaveras,6/1/20,1,0,1,50,1,0,9
Trinity,6/1/20,0,1,1,54,0,0,
San Diego,6/1/20,314,83,397,6121,150,16,317
Mendocino,6/1/20,0,1,1,180,1,1,2
Lassen,6/1/20,0,1,1,25,0,0,
El Dorado,6/1/20,1,5,6,199,1,3,8
Contra Costa,6/1/20,13,17,30,1628,8,5,100
Humboldt,6/1/20,4,6,10,352,0,0,7
Imperial,6/1/20,68,3,71,193,20,1,8
Solano,6/1/20,20,17,37,707,5,4,41
Merced,6/1/20,5,3,8,242,3,0,5
Santa Cruz,6/1/20,3,1,4,397,2,1,18
Ventura,6/1/20,24,21,45,1317,8,5,36
Butte,6/1/20,4,0,4,448,1,1,17
Marin,6/1/20,2,3,5,390,0,1,22
Madera,6/1/20,2,1,3,528,1,0,22
Monterey,6/1/20,9,0,9,811,4,0,100
Los Angeles,6/1/20,1422,596,2018,23614,425,105,1305
Sonoma,6/1/20,5,62,67,871,2,5,50
Nevada,6/1/20,0,1,1,131,0,0,6
Sutter,6/1/20,0,0,0,14,0,0,
Napa,6/1/20,0,2,2,387,0,0,6
Colusa,6/1/20,0,1,1,88,0,0,6
Tulare,6/1/20,34,1,35,920,11,1,14
Plumas,6/1/20,0,0,0,45,0,0,
Shasta,6/1/20,1,0,1,667,1,0,8
Stanislaus,6/1/20,22,11,33,1369,7,1,79
Riverside,6/1/20,203,104,307,3969,62,14,148
Santa Barbara,6/1/20,25,4,29,717,7,3,80
Amador,6/1/20,0,0,0,51,0,0,4
Tuolumne,6/1/20,0,0,0,151,0,0,0
Glenn,6/1/20,0,0,0,47,0,0,
Sacramento,6/1/20,14,18,32,2409,8,5,103
Lake,6/1/20,1,1,2,110,0,1,2
San Mateo,6/1/20,40,6,46,1096,11,0,42
Kings,6/1/20,26,2,28,199,8,0,2
San Luis Obispo,6/1/20,3,3,6,454,3,0,22
Mono,6/1/20,0,0,0,40,0,0,2
Tehama,6/1/20,0,0,0,106,0,0,3
Siskiyou,6/1/20,0,3,3,65,0,1,5
San Benito,6/1/20,0,0,0,25,0,0,3
Inyo,6/1/20,0,0,0,42,0,0,4
Placer,6/1/20,9,8,17,753,2,1,38
Fresno,6/1/20,68,54,122,2142,17,6,393
Alameda,6/1/20,97,51,148,2968,37,9,134
San Joaquin,6/1/20,23,25,48,1366,8,8,26
Kern,6/1/20,63,14,77,1722,30,3,69
Orange,6/1/20,292,113,405,6993,121,20,430
Mariposa,6/1/20,0,0,0,30,0,0,
Del Norte,6/1/20,0,0,0,51,0,0,4
San Francisco,6/1/20,45,29,74,2619,18,2,85
Modoc,6/1/20,0,0,0,41,0,0,
Yuba,6/1/20,1,0,1,445,0,0,14
Santa Clara,6/1/20,26,14,40,3318,9,2,192
San Bernardino,6/1/20,148,69,217,4821,62,17,186
Mendocino,6/2/20,1,0,1,180,1,0,4
Santa Barbara,6/2/20,25,3,28,717,8,1,84
Mariposa,6/2/20,0,0,0,30,0,0,
Tehama,6/2/20,0,0,0,106,0,0,4
Kings,6/2/20,31,1,32,199,8,0,6
Sutter,6/2/20,0,0,0,14,0,0,
Amador,6/2/20,0,0,0,51,0,0,3
Del Norte,6/2/20,0,0,0,51,0,0,2
Marin,6/2/20,1,10,11,390,0,2,17
Yuba,6/2/20,1,0,1,445,0,0,15
Lassen,6/2/20,0,1,1,25,0,0,
Glenn,6/2/20,0,0,0,47,0,0,
Lake,6/2/20,1,1,2,110,0,0,0
San Francisco,6/2/20,43,28,71,2647,18,8,76
Tulare,6/2/20,32,2,34,920,10,2,25
Trinity,6/2/20,0,2,2,54,0,0,
Fresno,6/2/20,64,37,101,2126,16,2,90
Calaveras,6/2/20,1,0,1,50,1,0,8
Siskiyou,6/2/20,0,3,3,65,0,1,5
Colusa,6/2/20,0,1,1,88,0,1,5
Santa Cruz,6/2/20,2,3,5,397,1,0,16
Solano,6/2/20,16,16,32,707,4,5,41
Modoc,6/2/20,0,0,0,41,0,0,
Inyo,6/2/20,0,0,0,42,0,0,4
Los Angeles,6/2/20,1457,570,2027,23620,439,85,1276
Tuolumne,6/2/20,0,0,0,151,0,0,1
Contra Costa,6/2/20,15,41,56,1628,8,12,94
Placer,6/2/20,9,18,27,753,2,2,38
San Mateo,6/2/20,42,17,59,1096,17,1,31
Mono,6/2/20,0,0,0,40,0,0,2
Imperial,6/2/20,66,1,67,237,18,0,8
Riverside,6/2/20,211,94,305,3979,66,14,127
El Dorado,6/2/20,1,7,8,199,1,5,2
Butte,6/2/20,4,2,6,448,1,0,15
Humboldt,6/2/20,3,6,9,352,0,0,7
Plumas,6/2/20,0,0,0,45,0,0,
Alameda,6/2/20,92,68,160,2968,33,5,131
San Benito,6/2/20,0,0,0,25,0,0,2
Nevada,6/2/20,0,1,1,135,0,0,7
Sacramento,6/2/20,17,25,42,2405,9,10,78
Madera,6/2/20,6,4,10,528,2,0,19
Merced,6/2/20,4,2,6,242,3,0,2
Kern,6/2/20,67,15,82,1732,33,1,67
Santa Clara,6/2/20,26,23,49,3318,10,7,177
Yolo,6/2/20,0,0,0,186,0,0,2
Stanislaus,6/2/20,25,11,36,1374,7,3,68
San Luis Obispo,6/2/20,2,2,4,460,2,0,23
Monterey,6/2/20,12,0,12,811,4,0,98
San Bernardino,6/2/20,156,70,226,4821,63,13,189
Ventura,6/2/20,25,21,46,1343,10,9,34
Sonoma,6/2/20,3,69,72,871,2,5,52
San Joaquin,6/2/20,25,27,52,1366,9,6,20
San Diego,6/2/20,297,72,369,6143,142,16,301
Orange,6/2/20,306,92,398,6993,130,18,388
Napa,6/2/20,0,2,2,387,0,0,6
Shasta,6/2/20,1,0,1,667,1,0,6
Inyo,6/3/20,0,0,0,42,0,0,4
Ventura,6/3/20,24,19,43,1337,9,4,34
Nevada,6/3/20,0,0,0,131,0,0,6
Mariposa,6/3/20,0,0,0,30,0,0,
Madera,6/3/20,0,0,0,528,1,0,19
San Joaquin,6/3/20,28,32,60,1366,10,5,21
Kern,6/3/20,66,9,75,1759,35,1,74
Colusa,6/3/20,0,0,0,88,0,0,6
Solano,6/3/20,10,13,23,707,4,1,48
Sonoma,6/3/20,3,76,79,871,2,8,50
Mono,6/3/20,0,0,0,40,0,0,1
Yuba,6/3/20,2,0,2,445,0,0,19
Tuolumne,6/3/20,0,0,0,151,0,0,0
Lassen,6/3/20,0,1,1,25,0,0,
Amador,6/3/20,0,0,0,51,0,0,2
Kings,6/3/20,32,0,32,199,7,0,2
Humboldt,6/3/20,1,5,6,352,0,0,7
Sutter,6/3/20,0,0,0,14,0,0,
Butte,6/3/20,4,0,4,448,0,0,22
Merced,6/3/20,3,1,4,242,3,0,2
Riverside,6/3/20,221,101,322,4001,71,14,137
Orange,6/3/20,296,80,376,6993,124,10,387
Sacramento,6/3/20,19,33,52,2418,12,6,94
Fresno,6/3/20,59,38,97,2126,16,3,88
San Mateo,6/3/20,43,23,66,1101,15,6,36
Contra Costa,6/3/20,15,52,67,1628,4,12,101
Mendocino,6/3/20,1,0,1,180,1,0,3
Los Angeles,6/3/20,1488,502,1990,23607,435,78,1239
Tehama,6/3/20,0,0,0,106,0,0,5
Marin,6/3/20,1,10,11,390,0,3,19
Santa Barbara,6/3/20,21,4,25,717,9,1,79
Alameda,6/3/20,89,80,169,2968,32,6,144
Shasta,6/3/20,1,0,1,667,0,0,4
Santa Cruz,6/3/20,2,1,3,397,1,0,12
Yolo,6/3/20,0,0,0,186,0,0,3
Glenn,6/3/20,0,0,0,47,0,0,
San Bernardino,6/3/20,157,75,232,4821,67,18,178
Trinity,6/3/20,0,2,2,54,0,0,
San Luis Obispo,6/3/20,2,1,3,466,2,1,21
Tulare,6/3/20,37,2,39,920,8,0,6
Monterey,6/3/20,12,0,12,811,4,0,96
Modoc,6/3/20,0,0,0,41,0,0,
Lake,6/3/20,1,0,1,110,0,0,2
Santa Clara,6/3/20,30,27,57,3318,8,6,184
Napa,6/3/20,0,2,2,387,0,0,5
San Benito,6/3/20,0,0,0,25,0,0,2
Placer,6/3/20,11,23,34,753,2,2,41
San Francisco,6/3/20,37,34,71,2647,17,4,80
Imperial,6/3/20,69,4,73,237,17,0,6
Siskiyou,6/3/20,0,1,1,65,0,1,6
San Diego,6/3/20,295,75,370,6214,134,24,288
El Dorado,6/3/20,1,6,7,199,1,5,10
Calaveras,6/3/20,1,0,1,50,1,0,8
Plumas,6/3/20,0,0,0,45,0,0,
Del Norte,6/3/20,0,0,0,51,0,0,0
Stanislaus,6/3/20,27,14,41,1369,6,2,75
San Mateo,6/4/20,35,18,53,1101,11,3,48
Yolo,6/4/20,0,0,0,186,0,0,0
Riverside,6/4/20,226,91,317,4025,73,20,122
Del Norte,6/4/20,0,0,0,51,0,0,1
Nevada,6/4/20,0,0,0,125,0,0,5
Mendocino,6/4/20,1,0,1,180,1,1,2
Mariposa,6/4/20,0,0,0,30,0,0,
Tuolumne,6/4/20,1,0,1,151,0,0,0
Napa,6/4/20,0,3,3,397,0,1,0
Yuba,6/4/20,3,0,3,445,1,0,14
Lake,6/4/20,2,2,4,110,0,1,1
Contra Costa,6/4/20,18,70,88,1628,7,10,101
Sacramento,6/4/20,28,33,61,2423,14,7,103
San Diego,6/4/20,297,82,379,6218,135,18,292
Lassen,6/4/20,0,1,1,25,0,0,
Santa Cruz,6/4/20,2,3,5,397,1,0,16
Amador,6/4/20,0,0,0,51,0,0,2
San Luis Obispo,6/4/20,2,0,2,464,2,0,23
Glenn,6/4/20,0,0,0,47,0,0,
Tehama,6/4/20,0,0,0,106,0,0,2
Siskiyou,6/4/20,0,1,1,65,0,0,5
Shasta,6/4/20,2,0,2,667,0,0,5
Butte,6/4/20,4,0,4,448,0,0,22
Imperial,6/4/20,74,3,77,237,18,0,4
San Bernardino,6/4/20,168,70,238,4821,66,15,169
Santa Clara,6/4/20,37,38,75,3318,14,7,176
Kern,6/4/20,62,14,76,1756,34,1,78
Inyo,6/4/20,0,0,0,42,0,0,2
Plumas,6/4/20,0,0,0,45,0,0,
Fresno,6/4/20,66,35,101,2136,16,3,95
Placer,6/4/20,11,35,46,753,2,3,47
Madera,6/4/20,1,1,2,528,1,0,24
Kings,6/4/20,33,0,33,199,7,0,3
Calaveras,6/4/20,0,0,0,50,0,0,10
Santa Barbara,6/4/20,28,10,38,717,9,2,65
Trinity,6/4/20,0,1,1,54,0,0,
Humboldt,6/4/20,0,2,2,352,0,2,2
San Francisco,6/4/20,41,21,62,2647,15,4,87
Colusa,6/4/20,0,0,0,88,0,0,6
Sonoma,6/4/20,4,54,58,871,2,7,51
San Benito,6/4/20,0,0,0,25,0,0,2
Monterey,6/4/20,13,1,14,811,3,0,95
Alameda,6/4/20,82,92,174,2968,32,9,157
Stanislaus,6/4/20,29,16,45,1369,7,3,78
Tulare,6/4/20,39,2,41,920,9,1,3
Sutter,6/4/20,0,0,0,14,0,0,
Ventura,6/4/20,27,23,50,1333,7,5,34
Solano,6/4/20,10,21,31,707,4,1,48
Orange,6/4/20,300,110,410,6993,123,18,393
San Joaquin,6/4/20,28,27,55,1366,12,3,18
El Dorado,6/4/20,1,5,6,199,1,3,7
Los Angeles,6/4/20,1462,586,2048,23715,453,99,1249
Mono,6/4/20,0,0,0,40,0,0,2
Marin,6/4/20,2,8,10,390,0,3,13
Merced,6/4/20,3,4,7,242,3,0,4
Modoc,6/4/20,0,0,0,41,0,0,
Santa Barbara,6/5/20,29,8,37,717,9,3,82
Calaveras,6/5/20,0,0,0,50,0,0,10
Tulare,6/5/20,39,2,41,920,7,0,8
Del Norte,6/5/20,0,0,0,51,0,0,2
San Francisco,6/5/20,42,22,64,2658,14,4,98
Placer,6/5/20,11,21,32,753,4,3,49
Amador,6/5/20,0,0,0,51,0,0,2
Solano,6/5/20,13,20,33,707,5,0,45
Monterey,6/5/20,14,1,15,811,3,0,92
Plumas,6/5/20,0,0,0,45,0,0,
Fresno,6/5/20,67,30,97,2129,16,3,91
Tuolumne,6/5/20,1,0,1,151,0,0,2
San Diego,6/5/20,299,69,368,6190,137,16,320
Tehama,6/5/20,0,0,0,106,0,0,4
Merced,6/5/20,4,1,5,242,2,0,3
Yolo,6/5/20,0,0,0,186,0,0,3
Contra Costa,6/5/20,17,46,63,1628,6,6,105
Trinity,6/5/20,0,0,0,54,0,0,
San Luis Obispo,6/5/20,3,3,6,483,2,0,27
Ventura,6/5/20,29,21,50,1357,9,3,45
Mariposa,6/5/20,0,0,0,30,0,0,
Stanislaus,6/5/20,25,14,39,1369,8,1,76
Mendocino,6/5/20,1,0,1,180,1,0,2
San Bernardino,6/5/20,180,63,243,4821,61,14,140
Lake,6/5/20,1,0,1,110,0,0,2
Lassen,6/5/20,0,0,0,25,0,0,
Sutter,6/5/20,0,0,0,14,0,0,
Kings,6/5/20,31,0,31,199,7,0,1
Modoc,6/5/20,0,0,0,41,0,0,
San Benito,6/5/20,0,0,0,25,0,0,1
Santa Clara,6/5/20,43,32,75,3375,18,6,206
Colusa,6/5/20,0,0,0,88,0,0,6
Sacramento,6/5/20,35,37,72,2424,14,7,95
Glenn,6/5/20,0,0,0,47,0,0,
Marin,6/5/20,2,9,11,390,0,0,16
Los Angeles,6/5/20,1451,547,1998,23507,439,109,1210
Butte,6/5/20,2,0,2,448,1,0,21
Riverside,6/5/20,228,98,326,4023,75,24,129
El Dorado,6/5/20,2,3,5,199,2,1,8
Madera,6/5/20,3,2,5,528,1,2,19
Siskiyou,6/5/20,0,1,1,65,0,0,6
Inyo,6/5/20,0,0,0,42,0,0,3
San Joaquin,6/5/20,26,33,59,1366,13,4,14
Humboldt,6/5/20,0,1,1,352,0,0,1
Orange,6/5/20,315,80,395,6973,131,11,401
San Mateo,6/5/20,36,18,54,1101,8,2,47
Alameda,6/5/20,82,68,150,2968,30,10,154
Shasta,6/5/20,0,0,0,667,0,0,4
Imperial,6/5/20,79,3,82,237,15,0,7
Santa Cruz,6/5/20,2,3,5,397,1,0,9
Nevada,6/5/20,0,2,2,130,0,0,4
Napa,6/5/20,1,2,3,397,1,0,0
Sonoma,6/5/20,3,69,72,871,2,8,54
Yuba,6/5/20,3,0,3,445,2,0,13
Mono,6/5/20,0,0,0,40,0,0,2
Kern,6/5/20,62,16,78,1756,33,1,80
Tulare,6/6/20,34,1,35,920,9,0,17
Calaveras,6/6/20,0,0,0,50,0,0,10
Trinity,6/6/20,0,0,0,54,0,0,
San Bernardino,6/6/20,195,59,254,4821,69,15,147
Sacramento,6/6/20,33,28,61,2414,15,7,90
San Mateo,6/6/20,37,21,58,1101,7,0,53
Butte,6/6/20,1,0,1,448,1,0,19
Glenn,6/6/20,0,0,0,47,0,0,
Yolo,6/6/20,0,0,0,186,0,0,2
El Dorado,6/6/20,1,4,5,199,1,4,8
San Francisco,6/6/20,41,24,65,2658,15,4,98
Kern,6/6/20,80,32,112,1756,33,3,89
Humboldt,6/6/20,1,5,6,352,0,0,3
Monterey,6/6/20,13,0,13,811,3,0,91
Santa Cruz,6/6/20,1,3,4,397,1,0,11
Mendocino,6/6/20,1,0,1,180,1,0,2
Merced,6/6/20,5,0,5,242,2,0,4
Lassen,6/6/20,0,0,0,25,0,0,
Nevada,6/6/20,0,2,2,130,0,0,4
Imperial,6/6/20,81,2,83,237,19,0,7
Fresno,6/6/20,70,41,111,2137,15,4,88
Sonoma,6/6/20,4,71,75,871,3,8,52
Tuolumne,6/6/20,0,0,0,151,0,0,2
Kings,6/6/20,26,1,27,199,9,1,4
Siskiyou,6/6/20,0,1,1,65,0,0,6
Modoc,6/6/20,0,0,0,41,0,0,
Alameda,6/6/20,83,72,155,2968,30,11,156
San Diego,6/6/20,285,76,361,6170,134,12,319
San Luis Obispo,6/6/20,3,4,7,449,2,1,23
Colusa,6/6/20,0,0,0,88,0,2,4
Riverside,6/6/20,220,89,309,3958,72,19,141
Plumas,6/6/20,0,0,0,45,0,0,
Los Angeles,6/6/20,1399,582,1981,23617,418,88,1233
Marin,6/6/20,3,6,9,390,0,1,18
Ventura,6/6/20,33,28,61,1333,9,8,40
Inyo,6/6/20,0,0,0,42,0,0,4
Stanislaus,6/6/20,26,9,35,1369,8,1,69
Contra Costa,6/6/20,18,43,61,1628,5,5,107
San Joaquin,6/6/20,30,34,64,1366,13,3,16
Santa Barbara,6/6/20,30,3,33,717,9,1,69
Sutter,6/6/20,0,0,0,14,0,0,
San Benito,6/6/20,0,0,0,25,0,0,3
Mariposa,6/6/20,0,0,0,30,0,0,
Napa,6/6/20,1,3,4,397,1,0,0
Shasta,6/6/20,0,0,0,667,0,0,8
Yuba,6/6/20,5,0,5,445,2,0,12
Solano,6/6/20,12,16,28,707,4,1,47
Lake,6/6/20,1,1,2,110,0,0,3
Placer,6/6/20,10,24,34,753,4,3,44
Mono,6/6/20,0,0,0,40,0,0,2
Santa Clara,6/6/20,41,32,73,3375,16,7,202
Tehama,6/6/20,0,0,0,106,0,0,2
Madera,6/6/20,5,3,8,528,1,0,22
Del Norte,6/6/20,0,0,0,51,0,0,1
Amador,6/6/20,0,0,0,51,0,0,4
Orange,6/6/20,309,67,376,6973,137,11,396
